ID,OBJECTID,ISO,P_Code,M_Code,Municipality,Area (km2),Avg. Elevation (m),Perimeter (m),Coastline length (m),C/P Ratio,Distance to coastline (m. mean),Distance to coastline (m. stdev),Ruggedness index (mean),Ruggedness index (stdev),Slope (mean),Slope (stdev),Landuse (Most common),Population 2010 census,Population 2013 est.,Population 2015 census,Pop. Density 2015 per km2,Poverty (%),Avg. Windspeed (km/h),Distance from typhoon path (km),Area Flooded (%),Rainfallme,Surge Height int. (m),Surge risk class (REACH),People affected,People affected (% 2010),Houses damaged,rain_oct18-20,rain oct11-18
,52,PHL,PH010000000,PH012929000,SIGAY,92.309,,,,,,,,,,,,,,2737,29.65041329,10.85129704,70,123.6778931,,691.4569749,,,,,,540.2735236,151.1834513
,53,PHL,PH010000000,PH012930000,SINAIT,68.93,,,,,,,,,,,,,,25640,371.9715654,3.498439938,90,47.05778215,,416.9840788,,,,,,286.5701142,130.4139646
,54,PHL,PH010000000,PH012931000,SUGPON,106.419,,,,,,,,,,,,,,4585,43.08441162,7.917121047,60,153.7236532,,725.722049,,,,,,625.0875675,100.6344815
,55,PHL,PH010000000,PH012932000,SUYO,163.772,,,,,,,,,,,,,,11446,69.88984686,8.24742268,65.55549828,133.5980831,,675.0558078,,,,,,546.8000557,128.2557521
,56,PHL,PH010000000,PH012933000,TAGUDIN,58.576,,,,,,,,,,,,,,39277,670.5305927,4.572650661,60,141.744772,,637.9553373,,,,,,524.3147134,113.640624
,57,PHL,PH010000000,PH012934000,CITY OF VIGAN (Capital),24.485,,,,,,,,,,,,,,53879,2200.490096,2.154828412,80,81.37265207,,480.7140487,,,,,,372.8649551,107.8490936
,58,PHL,PH010000000,PH013301000,AGOO,48.201,,,,,,,,,,,,,,63692,1321.383374,3.962821076,50,207.7545019,,620.5460123,,,,,,394.0925528,226.4534595
,59,PHL,PH010000000,PH013302000,ARINGAY,97.298,,,,,,,,,,,,,,47458,487.7592551,5.284672763,50,197.8725111,,653.7819659,,,,,,438.4833619,215.298604
,60,PHL,PH010000000,PH013303000,BACNOTAN,76.491,,,,,,,,,,,,,,42078,550.1039338,3.210703931,60,165.2083828,,733.111097,,,,,,649.8005526,83.31054445
,61,PHL,PH010000000,PH013304000,BAGULIN,90.661,,,,,,,,,,,,,,13456,148.421041,8.947681332,50.97240368,174.595962,,697.6008364,,,,,,539.2479891,158.3528473
,62,PHL,PH010000000,PH013305000,BALAOAN,62.094,,,,,,,,,,,,,,39188,631.1076755,4.131366745,60,157.7499922,,727.6603444,,,,,,639.5410498,88.11929462
,63,PHL,PH010000000,PH013306000,BANGAR,35.259,,,,,,,,,,,,,,35947,1019.512749,5.243831196,60,148.9215536,,691.0097121,,,,,,590.3713769,100.6383352
,64,PHL,PH010000000,PH013307000,BAUANG,75.896,,,,,,,,,,,,,,75032,988.6160008,2.861445783,50,189.8195642,,795.794311,,,,,,669.2551172,126.5391938
,65,PHL,PH010000000,PH013308000,BURGOS,36.492,,,,,,,,,,,,,,8067,221.0621506,6.631957357,50,182.6638568,,705.1199712,,,,,,507.5793726,197.5405986
,66,PHL,PH010000000,PH013309000,CABA,46.784,,,,,,,,,,,,,,22039,471.0798564,4.496574255,50,195.9391473,,680.6750272,,,,,,496.9294581,183.7455691
,67,PHL,PH010000000,PH013310000,LUNA,40.552,,,,,,,,,,,,,,35802,882.8664431,3.748393944,60,155.3968774,,741.6931201,,,,,,670.0426467,71.65047347
,68,PHL,PH010000000,PH013311000,NAGUILIAN,102.556,,,,,,,,,,,,,,54221,528.696517,2.862359602,50,185.5732936,,716.068405,,,,,,527.2526195,188.8157855
,69,PHL,PH010000000,PH013312000,PUGO,52.129,,,,,,,,,,,,,,19690,377.7168179,3.631284916,50,204.38348,,588.2030184,,,,,,339.2537705,248.9492479
,70,PHL,PH010000000,PH013313000,ROSARIO,78.436,,,,,,,,,,,,,,55458,707.0477842,4.412348083,50,212.280599,,592.2282324,,,,,,310.8843442,281.3438882
